tempmax;tempmin;temp;feelslikemax;feelslikemin;feelslike;dew;humidity;precip;precipprob;precipcover;snow;snowdepth;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;moonphase
13.6;8.1;10.9;13.6;4.9;9.8;6.8;76.5;0.498;100;12.5;0.0;0.0;34.3;245.9;1003.9;60.1;20.3;119.5;10.4;5;0.84
12.7;7.6;9.9;12.7;4.7;8.7;5.9;76.2;0.803;100;8.33;0.0;0.0;30.2;232.3;991.8;68.2;25.3;72.3;6.3;3;0.87
13.7;7.1;10.3;13.7;3.6;8.7;7.3;82.1;2.172;100;12.5;0.0;0.0;34.9;251.1;990.4;60.2;20.6;99.8;8.7;5;0.9
13.9;7.9;10.2;13.9;5.1;8.8;7.2;82.7;0.716;100;12.5;0.0;0.0;19.7;229.8;1000.3;67.7;21.8;92.0;8.0;4;0.94
13.8;7.5;9.9;13.8;3.6;7.9;7.3;84.8;2.52;100;12.5;0.0;0.0;33.9;298.9;1005.6;52.7;19.9;78.6;6.9;5;0.97
16.9;7.2;11.5;16.9;4.5;10.6;9.6;88.2;0.789;100;12.5;0.0;0.0;22.7;222.8;1017.1;78.8;18.5;45.2;4.0;2;0.0
19.6;16.0;17.3;19.6;16.0;17.3;14.8;85.4;0.002;100;8.33;0.0;0.0;27.9;203.9;1018.0;78.2;21.1;48.8;4.1;3;0.04
18.3;15.1;16.2;18.3;15.1;16.2;13.4;83.7;5.27;100;12.5;0.0;0.0;22.1;173.5;1024.2;88.4;20.5;49.0;4.2;2;0.07
17.6;8.1;14.5;17.6;6.4;14.4;12.1;85.3;1.146;100;8.33;0.0;0.0;23.6;225.5;1026.8;74.0;18.8;54.6;4.7;3;0.11
14.5;6.8;9.8;14.5;4.3;8.4;8.3;90.9;0.151;100;12.5;0.0;0.0;21.6;276.6;1032.6;57.3;11.2;89.3;7.6;4;0.14
13.8;5.1;9.0;13.8;2.4;7.8;7.5;90.7;0.002;100;8.33;0.0;0.0;15.3;266.0;1032.4;49.9;17.5;88.8;7.5;4;0.18
14.1;8.9;11.4;14.1;6.7;10.6;9.8;89.7;0.0;0;0.0;0.0;0.0;20.1;274.6;1028.6;83.4;17.8;50.0;4.3;2;0.21
12.1;10.8;11.5;12.1;10.8;11.5;9.1;85.3;0.0;0;0.0;0.0;0.0;15.3;263.1;1027.7;90.4;17.7;26.3;2.2;1;0.25
14.0;11.0;12.4;14.0;11.0;12.4;9.0;80.1;0.0;0;0.0;0.0;0.0;20.4;246.3;1021.3;88.8;22.1;34.1;2.9;1;0.28
12.3;7.2;10.5;12.3;5.3;10.1;7.4;82.0;0.153;100;12.5;0.0;0.0;18.1;30.9;1020.7;78.3;19.8;74.6;6.4;4;0.32
14.9;8.4;12.3;14.9;7.5;12.2;9.7;84.9;0.298;100;12.5;0.0;0.0;18.9;190.0;1015.7;86.1;16.1;39.6;3.4;2;0.35
16.2;13.0;14.8;16.2;13.0;14.8;12.8;87.8;4.25;100;8.33;0.0;0.0;23.3;221.9;1010.4;82.7;17.3;47.5;4.2;3;0.39
18.9;14.0;16.1;18.9;14.0;16.1;13.5;84.7;0.639;100;8.33;0.0;0.0;25.1;184.5;1007.5;83.3;18.0;78.3;6.9;4;0.42
18.1;12.5;15.4;18.1;12.5;15.4;13.2;86.5;6.125;100;12.5;0.0;0.0;29.8;212.7;1002.3;81.4;16.8;64.0;5.4;3;0.46
11.7;7.1;9.6;11.7;4.1;8.3;7.0;84.5;5.671;100;8.33;0.0;0.0;23.7;262.2;996.9;63.6;17.0;49.7;4.2;2;0.5
10.7;3.6;6.9;10.7;-0.5;3.7;3.5;79.0;0.002;100;4.17;0.0;0.0;38.0;287.2;1011.5;42.4;21.6;67.5;5.9;3;0.53
12.2;6.9;9.4;12.2;3.4;7.6;6.6;82.9;0.15;100;8.33;0.0;0.0;27.1;250.6;1020.2;78.6;16.7;57.3;4.8;3;0.56
13.1;9.5;11.6;13.1;7.4;11.2;7.8;77.5;0.008;100;4.17;0.0;0.0;34.4;192.2;1015.7;84.5;17.9;35.9;3.0;2;0.59
15.3;10.7;13.1;15.3;10.7;13.1;9.6;80.0;0.35;100;12.5;0.0;0.0;37.0;204.1;1007.5;47.9;18.2;74.0;6.3;3;0.63
12.6;8.4;9.8;12.6;5.9;8.1;6.5;80.4;0.005;100;8.33;0.0;0.0;23.6;228.6;1010.1;60.6;23.4;67.9;5.9;3;0.66
16.7;9.8;13.7;16.7;7.4;13.5;10.6;81.3;0.526;100;8.33;0.0;0.0;33.6;219.7;1008.6;87.0;19.4;37.6;3.2;2;0.69
16.6;14.5;15.5;16.6;14.5;15.5;13.6;88.7;2.0;100;16.67;0.0;0.0;31.3;200.9;1004.6;91.9;15.8;38.8;3.3;2;0.72
15.1;10.8;13.3;15.1;10.8;13.3;12.2;93.0;17.674;100;16.67;0.0;0.0;21.1;199.9;997.2;90.0;12.1;30.8;2.7;2;0.75
12.1;8.7;10.1;12.1;5.8;9.1;8.2;88.3;5.002;100;16.67;0.0;0.0;20.2;240.2;990.8;87.7;17.0;49.2;4.4;3;0.79
11.5;5.9;8.4;11.5;3.2;6.6;5.7;83.6;2.479;100;8.33;0.0;0.0;22.1;217.3;990.2;50.1;20.3;65.5;5.5;3;0.82
11.1;7.4;9.4;11.1;3.6;7.4;7.1;86.2;8.295;100;12.5;0.0;0.0;33.3;209.9;979.7;76.6;16.1;53.2;4.7;3;0.85
10.0;5.0;7.4;7.0;1.5;3.6;5.0;85.1;2.544;100;8.33;0.0;0.0;37.4;257.3;990.5;70.7;19.5;33.3;2.8;1;0.89
9.9;4.1;5.7;7.3;0.4;2.4;4.4;91.9;0.002;100;4.17;0.0;0.0;20.6;262.7;998.3;48.2;16.9;54.0;4.7;3;0.92
9.5;3.5;6.0;6.3;-0.7;2.4;4.1;88.5;0.003;100;8.33;0.0;0.0;29.8;302.9;1009.9;50.5;22.3;44.2;3.8;2;0.95
9.8;3.6;6.1;7.2;-0.8;2.8;3.8;85.6;0.001;100;4.17;0.0;0.0;22.4;292.3;1021.2;66.2;22.2;44.2;3.8;3;0.0
10.9;6.9;8.9;10.9;3.7;7.1;7.0;87.8;0.001;100;4.17;0.0;0.0;24.4;249.0;1026.0;87.1;18.5;26.9;2.4;1;0.02
13.6;7.9;9.9;13.6;4.4;7.9;7.7;85.8;0.206;100;12.5;0.0;0.0;38.2;244.8;1019.7;81.5;16.6;39.7;3.4;3;0.06
10.8;5.3;7.7;10.8;1.7;5.1;4.4;80.3;0.0;0;0.0;0.0;0.0;33.6;258.1;1022.5;62.3;19.2;44.9;3.8;2;0.09
16.0;6.7;12.4;16.0;5.3;12.0;10.3;87.5;1.716;100;8.33;0.0;0.0;28.7;213.3;1017.9;88.4;21.3;28.0;2.4;2;0.12
13.9;9.5;12.2;13.9;8.5;12.2;9.8;85.1;0.162;100;8.33;0.0;0.0;25.7;233.5;1017.1;82.2;18.0;35.6;3.1;2;0.16
11.5;7.6;9.4;11.5;6.2;8.8;7.4;87.2;0.0;0;0.0;0.0;0.0;14.4;230.7;1021.8;86.5;17.9;28.9;2.5;2;0.19
13.8;4.7;10.9;13.8;2.8;10.6;8.5;85.5;0.153;100;4.17;0.0;0.0;35.5;166.1;1015.0;84.7;16.6;44.3;3.8;3;0.25
12.8;10.2;11.3;12.8;10.2;11.3;8.8;84.7;1.82;100;12.5;0.0;0.0;35.4;248.7;1004.2;85.3;14.5;31.8;2.7;2;0.26
12.0;9.8;10.9;12.0;7.3;10.5;9.6;91.8;0.002;100;8.33;0.0;0.0;27.8;256.4;1017.9;90.7;16.3;28.3;2.3;2;0.3
14.4;7.8;11.0;14.4;6.5;10.8;10.2;94.6;0.002;100;8.33;0.0;0.0;9.4;164.9;1023.4;75.1;10.8;22.6;2.0;1;0.33
12.0;7.2;10.0;12.0;5.9;9.4;8.7;92.0;0.009;100;8.33;0.0;0.0;16.1;273.8;1026.1;89.1;18.1;27.5;2.3;1;0.37
10.8;7.6;9.0;10.8;4.8;7.3;6.5;84.6;0.026;100;4.17;0.0;0.0;23.9;233.0;1019.5;78.7;17.4;20.4;1.7;1;0.4
10.9;7.0;9.0;10.9;3.7;7.1;5.9;81.2;0.001;100;4.17;0.0;0.0;23.8;241.1;1023.0;77.0;16.1;27.0;2.3;1;0.44
13.1;10.5;12.1;13.1;10.5;12.1;10.4;89.1;0.031;100;8.33;0.0;0.0;27.0;240.8;1025.7;89.0;16.4;24.2;2.1;1;0.47
12.0;9.3;10.7;12.0;7.7;10.3;8.3;85.3;0.007;100;4.17;0.0;0.0;18.6;231.3;1028.1;74.9;19.0;32.1;2.7;2;0.5
11.3;3.7;8.9;11.3;0.3;7.1;6.3;83.6;0.549;100;12.5;0.0;0.0;28.1;259.2;1023.6;73.5;18.4;33.8;3.0;3;0.54
7.4;0.9;3.9;3.7;-3.0;0.2;1.5;84.9;0.001;100;4.17;0.0;0.0;27.8;318.9;1026.6;26.9;21.1;29.8;2.7;2;0.57
7.6;-1.0;2.2;5.8;-4.7;-0.7;1.0;92.0;0.0;0;0.0;0.0;0.0;14.5;290.1;1034.3;25.7;21.4;31.2;2.8;2;0.6
6.9;0.2;5.0;4.8;-3.0;2.6;3.5;89.8;0.0;0;0.0;0.0;0.0;14.8;271.8;1034.1;86.4;19.1;13.6;1.1;1;0.64
7.0;1.0;4.3;3.9;-3.7;0.9;2.7;89.4;0.388;100;4.17;0.0;0.0;19.8;263.3;1022.3;67.1;17.3;15.7;1.4;1;0.67
6.0;1.3;3.3;2.5;-3.7;-0.9;1.2;86.3;0.024;100;4.17;0.0;0.0;24.7;276.8;1021.2;72.5;16.5;27.7;2.4;2;0.7
7.8;2.2;5.3;3.3;-4.1;0.2;2.4;81.3;0.735;100;12.5;0.0;0.0;40.4;295.0;1000.9;62.9;17.2;21.3;1.9;1;0.74
4.7;0.6;2.7;-0.2;-4.5;-2.6;-1.4;74.6;0.0;0;0.0;0.0;0.0;40.0;325.6;1010.9;49.6;23.0;22.5;1.8;1;0.75
4.7;0.1;2.4;1.5;-4.6;-1.4;1.4;93.0;0.009;100;8.33;0.0;0.0;21.5;266.2;1011.1;78.8;15.3;21.0;1.7;1;0.81
8.9;1.4;6.0;5.8;-2.2;2.9;5.1;94.3;0.01;100;8.33;0.0;0.0;29.9;250.3;1014.1;85.6;11.5;14.8;1.3;1;0.84
10.8;8.8;9.6;10.8;4.2;6.6;8.5;93.3;2.33;100;12.5;0.0;0.0;41.4;254.1;1007.4;92.0;12.3;18.0;1.7;1;0.87
7.9;1.8;5.6;3.6;-2.7;1.0;3.3;85.4;2.752;100;8.33;0.0;0.0;42.4;288.9;1005.1;69.9;19.6;17.0;1.5;1;0.91
